dimension: 6
max non-zeros: 16
min non-zeros: 1
avg non-zeros: 2
we have 153 chains
136 are fixed
17 are free
45 have radius zero
   40 of these are fixed
   5 of these are free
108 have radius non-zero
   96 of these are fixed
   12 of these are free

sqr=5.927e+05  alp=0.1  con= 0 / 0  153 17 102     
sqr=5.828e+05  alp=0.08  con= 0 / 0  153 17 102     
sqr=5.378e+05  alp=0.064  con= 0 / 0  153 17 102     
sqr=4.788e+05  alp=0.0512  con= 0 / 0  153 17 102     
sqr=4.204e+05  alp=0.04096  con= 0 / 0  153 17 102     
sqr=3.695e+05  alp=0.03277  con= 0 / 0  153 17 102     
sqr=3.275e+05  alp=0.02621  con= 0 / 0  153 17 102     
sqr=2.939e+05  alp=0.02097  con= 0 / 0  153 17 102     
sqr=2.677e+05  alp=0.01678  con= 0 / 0  153 17 102     
sqr=2.473e+05  alp=0.01342  con= 0 / 0  153 17 102     
sqr=2.328e+05  alp=0.01074  con= 0 / 0  153 17 102     
sqr=2.208e+05  alp=0.00859  con= 0 / 0  153 17 102     
sqr=2.108e+05  alp=0.006872  con= 0 / 0  153 17 102     
sqr=2.031e+05  alp=0.005498  con= 0 / 0  153 17 102     
sqr=1.966e+05  alp=0.004398  con= 0 / 0  153 17 102     
sqr=1.915e+05  alp=0.003518  con= 0 / 0  153 17 102     
sqr=1.877e+05  alp=0.002815  con= 0 / 0  153 17 102     
sqr=1.847e+05  alp=0.002252  con= 0 / 0  153 17 102     
sqr=1.824e+05  alp=0.001801  con= 0 / 0  153 17 102     
sqr=1.806e+05  alp=0.001441  con= 0 / 0  153 17 102     
sqr=1.792e+05  alp=0.001153  con= 0 / 0  153 17 102     
sqr=1.782e+05  alp=0.0009223  con= 0 / 0  153 17 102     
sqr=1.773e+05  alp=0.0007379  con= 0 / 0  153 17 102     
sqr=1.767e+05  alp=0.0005903  con= 0 / 0  153 17 102     
sqr=1.762e+05  alp=0.0004722  con= 0 / 0  153 17 102     
sqr=1.758e+05  alp=0.0003778  con= 0 / 0  153 17 102     
sqr=1.755e+05  alp=0.0003022  con= 0 / 0  153 17 102     
sqr=1.752e+05  alp=0.0002418  con= 0 / 0  153 17 102     
sqr=1.751e+05  alp=0.0001934  con= 0 / 0  153 17 102     
sqr=1.749e+05  alp=0.0001547  con= 0 / 0  153 17 102     
sqr=1.748e+05  alp=0.0001238  con= 0 / 0  153 17 102     
sqr=1.747e+05  alp=9.904e-05  con= 0 / 0  153 17 102     
sqr=1.746e+05  alp=7.923e-05  con= 0 / 0  153 17 102     
sqr=1.746e+05  alp=6.338e-05  con= 0 / 0  153 17 102     
sqr=1.745e+05  alp=5.071e-05  con= 0 / 0  153 17 102     
sqr=1.745e+05  alp=4.056e-05  con= 0 / 0  153 17 102     
sqr=1.745e+05  alp=3.245e-05  con= 0 / 0  153 17 102     
sqr=1.744e+05  alp=2.596e-05  con= 0 / 0  153 17 102     
sqr=1.744e+05  alp=2.077e-05  con= 0 / 0  153 17 102     
sqr=1.744e+05  alp=1.662e-05  con= 0 / 0  153 17 102     
sqr=1.744e+05  alp=1.329e-05  con= 0 / 0  153 17 102     
sqr=1.744e+05  alp=1.063e-05  con= 0 / 0  153 17 102     
sqr=1.744e+05  alp=8.507e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=6.806e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=5.445e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.356e-06  con= 0 / 0  153 17 102     
