dimension: 10
max non-zeros: 18
min non-zeros: 1
avg non-zeros: 2
we have 190 chains
171 are fixed
19 are free
90 have radius zero
   81 of these are fixed
   9 of these are free
100 have radius non-zero
   90 of these are fixed
   10 of these are free

sqr=2.006e+04  alp=1.043e-11  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=8.344e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=6.675e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=5.34e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=4.272e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=3.418e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.734e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=2.187e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.75e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.4e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=1.12e-12  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=8.959e-13  con= 0 / 0  190 19 190     
sqr=2.006e+04  alp=7.167e-13  con= 0 / 0  190 19 190     
sqr=1.997e+04  alp=0.01342  con= 0 / 0  190 19 190     
sqr=1.99e+04  alp=0.01074  con= 0 / 0  190 19 190     
sqr=1.983e+04  alp=0.00859  con= 0 / 0  190 19 190     
sqr=1.976e+04  alp=0.006872  con= 0 / 0  190 19 190     
sqr=1.968e+04  alp=0.005498  con= 0 / 0  190 19 190     
sqr=1.962e+04  alp=0.004398  con= 0 / 0  190 19 190     
sqr=1.957e+04  alp=0.003518  con= 0 / 0  190 19 190     
sqr=1.953e+04  alp=0.002815  con= 0 / 0  190 19 190     
sqr=1.949e+04  alp=0.002252  con= 0 / 0  190 19 190     
sqr=1.947e+04  alp=0.001801  con= 0 / 0  190 19 190     
sqr=1.944e+04  alp=0.001441  con= 0 / 0  190 19 190     
sqr=1.943e+04  alp=0.001153  con= 0 / 0  190 19 190     
sqr=1.941e+04  alp=0.0009223  con= 0 / 0  190 19 190     
sqr=1.94e+04  alp=0.0007379  con= 0 / 0  190 19 190     
sqr=1.939e+04  alp=0.0005903  con= 0 / 0  190 19 190     
sqr=1.938e+04  alp=0.0004722  con= 0 / 0  190 19 190     
sqr=1.937e+04  alp=0.0003778  con= 0 / 0  190 19 190     
sqr=1.937e+04  alp=0.0003022  con= 0 / 0  190 19 190     
sqr=1.936e+04  alp=0.0002418  con= 0 / 0  190 19 190     
sqr=1.936e+04  alp=0.0001934  con= 0 / 0  190 19 190     
sqr=1.936e+04  alp=0.0001547  con= 0 / 0  190 19 190     
sqr=1.936e+04  alp=0.0001238  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=9.904e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=7.923e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=6.338e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=5.071e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.056e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.245e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.596e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.077e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.662e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.329e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.063e-05  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=8.507e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=6.806e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=5.445e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.356e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.484e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.788e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.23e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.784e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.427e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.142e-06  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=9.134e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=7.308e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=5.846e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.677e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.741e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.993e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.395e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.916e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.532e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.226e-07  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=9.808e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=7.846e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=6.277e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=5.022e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.017e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.214e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.571e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.057e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.646e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.316e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.053e-08  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=8.425e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=6.74e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=5.392e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.314e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.451e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.761e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.209e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.767e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.413e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.131e-09  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=9.046e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=7.237e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=5.79e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.632e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.705e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.964e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.371e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.897e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.518e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.214e-10  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=9.713e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=7.771e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=6.217e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.973e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.979e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.183e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.546e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.037e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.63e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.304e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.043e-11  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=8.344e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=6.675e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=5.34e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.272e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.418e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.734e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=2.187e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.75e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.4e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=1.12e-12  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=8.959e-13  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=7.167e-13  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=5.734e-13  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=4.587e-13  con= 0 / 0  190 19 190     
sqr=1.935e+04  alp=3.385e-15  con= 0 / 0  190 19 190     
s=1.935e+04 a=8.873e-16 c= 0 / 1 190 19 190 1.935e+04 4.287
sqr=6.14e+05  alp=0.1  con= 0 / 1  190 19 190     
sqr=4.361e+05  alp=0.08  con= 0 / 1  190 19 190     
sqr=3.289e+05  alp=0.064  con= 0 / 1  190 19 190     
sqr=2.737e+05  alp=0.0512  con= 0 / 1  190 19 190     
sqr=2.435e+05  alp=0.04096  con= 0 / 1  190 19 190     
sqr=2.223e+05  alp=0.03277  con= 0 / 1  190 19 190     
sqr=2.07e+05  alp=0.02621  con= 0 / 1  190 19 190     
sqr=1.961e+05  alp=0.02097  con= 0 / 1  190 19 190     
sqr=1.88e+05  alp=0.01678  con= 0 / 1  190 19 190     
sqr=1.815e+05  alp=0.01342  con= 0 / 1  190 19 190     
sqr=1.754e+05  alp=0.01074  con= 0 / 1  190 19 190     
sqr=1.706e+05  alp=0.00859  con= 0 / 1  190 19 190     
sqr=1.669e+05  alp=0.006872  con= 0 / 1  190 19 190     
sqr=1.64e+05  alp=0.005498  con= 0 / 1  190 19 190     
sqr=1.618e+05  alp=0.004398  con= 0 / 1  190 19 190     
sqr=1.6e+05  alp=0.003518  con= 0 / 1  190 19 190     
sqr=1.587e+05  alp=0.002815  con= 0 / 1  190 19 190     
sqr=1.577e+05  alp=0.002252  con= 0 / 1  190 19 190     
sqr=1.569e+05  alp=0.001801  con= 0 / 1  190 19 190     
sqr=1.563e+05  alp=0.001441  con= 0 / 1  190 19 190     
sqr=1.559e+05  alp=0.001153  con= 0 / 1  190 19 190     
sqr=1.555e+05  alp=0.0009223  con= 0 / 1  190 19 190     
sqr=1.551e+05  alp=0.0007379  con= 0 / 1  190 19 190     
sqr=1.549e+05  alp=0.0005903  con= 0 / 1  190 19 190     
sqr=1.546e+05  alp=0.0004722  con= 0 / 1  190 19 190     
sqr=1.544e+05  alp=0.0003778  con= 0 / 1  190 19 190     
sqr=1.543e+05  alp=0.0003022  con= 0 / 1  190 19 190     
sqr=1.542e+05  alp=0.0002418  con= 0 / 1  190 19 190     
sqr=1.541e+05  alp=0.0001934  con= 0 / 1  190 19 190     
sqr=1.54e+05  alp=0.0001547  con= 0 / 1  190 19 190     
sqr=1.539e+05  alp=0.0001238  con= 0 / 1  190 19 190     
sqr=1.539e+05  alp=9.904e-05  con= 0 / 1  190 19 190     
sqr=1.539e+05  alp=7.923e-05  con= 0 / 1  190 19 190     
sqr=1.538e+05  alp=6.338e-05  con= 0 / 1  190 19 190     
sqr=1.538e+05  alp=5.071e-05  con= 0 / 1  190 19 190     
sqr=1.538e+05  alp=4.056e-05  con= 0 / 1  190 19 190     
sqr=1.538e+05  alp=3.245e-05  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.596e-05  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.077e-05  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.662e-05  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.329e-05  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.063e-05  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=8.507e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=6.806e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=5.445e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.356e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.484e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.788e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.23e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.784e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.427e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.142e-06  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=9.134e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=7.308e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=5.846e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.677e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.741e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.993e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.395e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.916e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.532e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.226e-07  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=9.808e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=7.846e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=6.277e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=5.022e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.017e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.214e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.571e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.057e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.646e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.316e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.053e-08  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=8.425e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=6.74e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=5.392e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.314e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.451e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.761e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.209e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.767e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.413e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.131e-09  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=9.046e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=7.237e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=5.79e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.632e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.705e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.964e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.371e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.897e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.518e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.214e-10  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=9.713e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=7.771e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=6.217e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.973e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.979e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.183e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.546e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.037e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.63e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.304e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.043e-11  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=8.344e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=6.675e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=5.34e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.272e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.418e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.734e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.187e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.75e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.4e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.12e-12  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=8.959e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=7.167e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=5.734e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.587e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.67e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.936e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.349e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.879e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.503e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.202e-13  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=9.62e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=7.696e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=6.157e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=4.925e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.94e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=3.152e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.522e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=2.017e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.614e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.291e-14  con= 0 / 1  190 19 190     
sqr=1.537e+05  alp=1.733e-15  con= 0 / 1  190 19 190     
sqr=1.306e+05  alp=0.08  con= 0 / 1  190 19 190     
sqr=1.135e+05  alp=0.064  con= 0 / 1  190 19 190     
sqr=9.955e+04  alp=0.0512  con= 0 / 1  190 19 190     
sqr=8.813e+04  alp=0.04096  con= 0 / 1  190 19 190     
sqr=8.103e+04  alp=0.03277  con= 0 / 1  190 19 190     
sqr=7.582e+04  alp=0.02621  con= 0 / 1  190 19 190     
sqr=7.181e+04  alp=0.02097  con= 0 / 1  190 19 190     
sqr=6.876e+04  alp=0.01678  con= 0 / 1  190 19 190     
sqr=6.651e+04  alp=0.01342  con= 0 / 1  190 19 190     
sqr=6.487e+04  alp=0.01074  con= 0 / 1  190 19 190     
sqr=6.336e+04  alp=0.00859  con= 0 / 1  190 19 190     
sqr=6.202e+04  alp=0.006872  con= 0 / 1  190 19 190     
sqr=6.104e+04  alp=0.005498  con= 0 / 1  190 19 190     
sqr=6.031e+04  alp=0.004398  con= 0 / 1  190 19 190     
sqr=5.976e+04  alp=0.003518  con= 0 / 1  190 19 190     
sqr=5.935e+04  alp=0.002815  con= 0 / 1  190 19 190     
sqr=5.896e+04  alp=0.002252  con= 0 / 1  190 19 190     
sqr=5.866e+04  alp=0.001801  con= 0 / 1  190 19 190     
sqr=5.839e+04  alp=0.001441  con= 0 / 1  190 19 190     
sqr=5.815e+04  alp=0.001153  con= 0 / 1  190 19 190     
sqr=5.793e+04  alp=0.0009223  con= 0 / 1  190 19 190     
sqr=5.776e+04  alp=0.0007379  con= 0 / 1  190 19 190     
sqr=5.762e+04  alp=0.0005903  con= 0 / 1  190 19 190     
sqr=5.751e+04  alp=0.0004722  con= 0 / 1  190 19 190     
sqr=5.741e+04  alp=0.0003778  con= 0 / 1  190 19 190     
sqr=5.734e+04  alp=0.0003022  con= 0 / 1  190 19 190     
sqr=5.729e+04  alp=0.0002418  con= 0 / 1  190 19 190     
sqr=5.724e+04  alp=0.0001934  con= 0 / 1  190 19 190     
sqr=5.721e+04  alp=0.0001547  con= 0 / 1  190 19 190     
sqr=5.718e+04  alp=0.0001238  con= 0 / 1  190 19 190     
sqr=5.715e+04  alp=9.904e-05  con= 0 / 1  190 19 190     
sqr=5.713e+04  alp=7.923e-05  con= 0 / 1  190 19 190     
sqr=5.712e+04  alp=6.338e-05  con= 0 / 1  190 19 190     
sqr=5.71e+04  alp=5.071e-05  con= 0 / 1  190 19 190     
sqr=5.709e+04  alp=4.056e-05  con= 0 / 1  190 19 190     
sqr=5.709e+04  alp=3.245e-05  con= 0 / 1  190 19 190     
sqr=5.708e+04  alp=2.596e-05  con= 0 / 1  190 19 190     
sqr=5.708e+04  alp=2.077e-05  con= 0 / 1  190 19 190     
sqr=5.707e+04  alp=1.662e-05  con= 0 / 1  190 19 190     
sqr=5.707e+04  alp=1.329e-05  con= 0 / 1  190 19 190     
sqr=5.707e+04  alp=1.063e-05  con= 0 / 1  190 19 190     
sqr=5.706e+04  alp=8.507e-06  con= 0 / 1  190 19 190     
sqr=5.706e+04  alp=6.806e-06  con= 0 / 1  190 19 190     
sqr=5.706e+04  alp=5.445e-06  con= 0 / 1  190 19 190     
sqr=5.706e+04  alp=4.356e-06  con= 0 / 1  190 19 190     
sqr=5.706e+04  alp=3.484e-06  con= 0 / 1  190 19 190     
sqr=5.706e+04  alp=2.788e-06  con= 0 / 1  190 19 190     
