dimension: 10
max non-zeros: 13
min non-zeros: 1
avg non-zeros: 2
we have 105 chains
91 are fixed
14 are free
30 have radius zero
   26 of these are fixed
   4 of these are free
75 have radius non-zero
   65 of these are fixed
   10 of these are free

sqr=291.2  alp=8.507e-06  con= 0 / 0  105 14 140     
sqr=291.2  alp=6.806e-06  con= 0 / 0  105 14 140     
sqr=291.1  alp=5.445e-06  con= 0 / 0  105 14 140     
sqr=291.1  alp=4.356e-06  con= 0 / 0  105 14 140     
sqr=291.1  alp=3.484e-06  con= 0 / 0  105 14 140     
sqr=291.1  alp=2.788e-06  con= 0 / 0  105 14 140     
sqr=291.1  alp=2.23e-06  con= 0 / 0  105 14 140     
sqr=291.1  alp=1.784e-06  con= 0 / 0  105 14 140     
sqr=291  alp=1.427e-06  con= 0 / 0  105 14 140     
sqr=291  alp=1.142e-06  con= 0 / 0  105 14 140     
sqr=291  alp=9.134e-07  con= 0 / 0  105 14 140     
sqr=291  alp=7.308e-07  con= 0 / 0  105 14 140     
sqr=291  alp=5.846e-07  con= 0 / 0  105 14 140     
sqr=291  alp=4.677e-07  con= 0 / 0  105 14 140     
sqr=291  alp=3.741e-07  con= 0 / 0  105 14 140     
sqr=291  alp=2.993e-07  con= 0 / 0  105 14 140     
sqr=291  alp=2.395e-07  con= 0 / 0  105 14 140     
sqr=291  alp=1.916e-07  con= 0 / 0  105 14 140     
sqr=291  alp=1.532e-07  con= 0 / 0  105 14 140     
sqr=291  alp=1.226e-07  con= 0 / 0  105 14 140     
sqr=291  alp=9.808e-08  con= 0 / 0  105 14 140     
sqr=291  alp=7.846e-08  con= 0 / 0  105 14 140     
sqr=291  alp=6.277e-08  con= 0 / 0  105 14 140     
sqr=291  alp=5.022e-08  con= 0 / 0  105 14 140     
sqr=291  alp=4.017e-08  con= 0 / 0  105 14 140     
sqr=291  alp=3.214e-08  con= 0 / 0  105 14 140     
sqr=291  alp=2.571e-08  con= 0 / 0  105 14 140     
sqr=291  alp=2.057e-08  con= 0 / 0  105 14 140     
sqr=291  alp=1.646e-08  con= 0 / 0  105 14 140     
sqr=291  alp=1.316e-08  con= 0 / 0  105 14 140     
sqr=291  alp=1.053e-08  con= 0 / 0  105 14 140     
sqr=291  alp=8.425e-09  con= 0 / 0  105 14 140     
sqr=291  alp=6.74e-09  con= 0 / 0  105 14 140     
sqr=291  alp=5.392e-09  con= 0 / 0  105 14 140     
sqr=291  alp=4.314e-09  con= 0 / 0  105 14 140     
sqr=291  alp=3.451e-09  con= 0 / 0  105 14 140     
sqr=291  alp=2.761e-09  con= 0 / 0  105 14 140     
sqr=291  alp=2.209e-09  con= 0 / 0  105 14 140     
sqr=291  alp=1.767e-09  con= 0 / 0  105 14 140     
sqr=291  alp=1.413e-09  con= 0 / 0  105 14 140     
sqr=291  alp=1.131e-09  con= 0 / 0  105 14 140     
sqr=291  alp=9.046e-10  con= 0 / 0  105 14 140     
sqr=291  alp=7.237e-10  con= 0 / 0  105 14 140     
sqr=291  alp=5.79e-10  con= 0 / 0  105 14 140     
sqr=291  alp=4.632e-10  con= 0 / 0  105 14 140     
sqr=291  alp=3.705e-10  con= 0 / 0  105 14 140     
sqr=291  alp=2.964e-10  con= 0 / 0  105 14 140     
sqr=291  alp=2.371e-10  con= 0 / 0  105 14 140     
sqr=291  alp=1.897e-10  con= 0 / 0  105 14 140     
sqr=291  alp=1.518e-10  con= 0 / 0  105 14 140     
sqr=291  alp=1.214e-10  con= 0 / 0  105 14 140     
sqr=291  alp=9.713e-11  con= 0 / 0  105 14 140     
sqr=291  alp=7.771e-11  con= 0 / 0  105 14 140     
sqr=291  alp=6.217e-11  con= 0 / 0  105 14 140     
sqr=291  alp=4.973e-11  con= 0 / 0  105 14 140     
sqr=291  alp=3.979e-11  con= 0 / 0  105 14 140     
sqr=291  alp=3.183e-11  con= 0 / 0  105 14 140     
sqr=291  alp=2.546e-11  con= 0 / 0  105 14 140     
sqr=291  alp=2.037e-11  con= 0 / 0  105 14 140     
sqr=291  alp=1.63e-11  con= 0 / 0  105 14 140     
sqr=291  alp=1.304e-11  con= 0 / 0  105 14 140     
sqr=291  alp=1.043e-11  con= 0 / 0  105 14 140     
sqr=291  alp=8.344e-12  con= 0 / 0  105 14 140     
sqr=291  alp=6.675e-12  con= 0 / 0  105 14 140     
sqr=291  alp=5.34e-12  con= 0 / 0  105 14 140     
sqr=291  alp=4.272e-12  con= 0 / 0  105 14 140     
s=291 a=8.873e-16 c= 0 / 1 105 14 140 291 2.464
sqr=6.418e+04  alp=0.1  con= 0 / 1  105 14 140     
sqr=2992  alp=0.08  con= 0 / 1  105 14 140     
sqr=1694  alp=0.064  con= 0 / 1  105 14 140     
sqr=1194  alp=0.03277  con= 0 / 1  105 14 140     
sqr=1032  alp=0.01678  con= 0 / 1  105 14 140     
sqr=904.8  alp=0.01342  con= 0 / 1  105 14 140     
sqr=702.7  alp=0.01074  con= 0 / 1  105 14 140     
sqr=426.1  alp=0.00859  con= 0 / 1  105 14 140     
sqr=229.7  alp=0.006872  con= 0 / 1  105 14 140     
sqr=165.6  alp=0.005498  con= 0 / 1  105 14 140     
sqr=145.4  alp=0.004398  con= 0 / 1  105 14 140     
sqr=134  alp=0.003518  con= 0 / 1  105 14 140     
sqr=126.5  alp=0.002815  con= 0 / 1  105 14 140     
sqr=120.8  alp=0.002252  con= 0 / 1  105 14 140     
sqr=116.5  alp=0.001801  con= 0 / 1  105 14 140     
sqr=113.1  alp=0.001441  con= 0 / 1  105 14 140     
sqr=110.2  alp=0.001153  con= 0 / 1  105 14 140     
sqr=107.8  alp=0.0009223  con= 0 / 1  105 14 140     
sqr=105.8  alp=0.0007379  con= 0 / 1  105 14 140     
sqr=104.2  alp=0.0005903  con= 0 / 1  105 14 140     
sqr=103.1  alp=0.0004722  con= 0 / 1  105 14 140     
sqr=102.2  alp=0.0003778  con= 0 / 1  105 14 140     
sqr=101.5  alp=0.0003022  con= 0 / 1  105 14 140     
sqr=101  alp=0.0002418  con= 0 / 1  105 14 140     
sqr=100.6  alp=0.0001934  con= 0 / 1  105 14 140     
sqr=100.3  alp=0.0001547  con= 0 / 1  105 14 140     
sqr=100  alp=0.0001238  con= 0 / 1  105 14 140     
sqr=99.85  alp=9.904e-05  con= 0 / 1  105 14 140     
sqr=99.7  alp=7.923e-05  con= 0 / 1  105 14 140     
sqr=99.58  alp=6.338e-05  con= 0 / 1  105 14 140     
sqr=99.48  alp=5.071e-05  con= 0 / 1  105 14 140     
sqr=99.41  alp=4.056e-05  con= 0 / 1  105 14 140     
sqr=99.35  alp=3.245e-05  con= 0 / 1  105 14 140     
sqr=99.3  alp=2.596e-05  con= 0 / 1  105 14 140     
sqr=99.26  alp=2.077e-05  con= 0 / 1  105 14 140     
sqr=99.23  alp=1.662e-05  con= 0 / 1  105 14 140     
sqr=99.21  alp=1.329e-05  con= 0 / 1  105 14 140     
sqr=99.19  alp=1.063e-05  con= 0 / 1  105 14 140     
sqr=99.18  alp=8.507e-06  con= 0 / 1  105 14 140     
sqr=99.17  alp=6.806e-06  con= 0 / 1  105 14 140     
sqr=99.16  alp=5.445e-06  con= 0 / 1  105 14 140     
sqr=99.15  alp=4.356e-06  con= 0 / 1  105 14 140     
sqr=99.14  alp=3.484e-06  con= 0 / 1  105 14 140     
sqr=99.14  alp=2.788e-06  con= 0 / 1  105 14 140     
sqr=99.14  alp=2.23e-06  con= 0 / 1  105 14 140     
sqr=99.13  alp=1.784e-06  con= 0 / 1  105 14 140     
sqr=99.13  alp=1.427e-06  con= 0 / 1  105 14 140     
sqr=99.13  alp=1.142e-06  con= 0 / 1  105 14 140     
sqr=99.13  alp=9.134e-07  con= 0 / 1  105 14 140     
sqr=99.13  alp=7.308e-07  con= 0 / 1  105 14 140     
sqr=99.13  alp=5.846e-07  con= 0 / 1  105 14 140     
sqr=99.12  alp=4.677e-07  con= 0 / 1  105 14 140     
sqr=99.12  alp=3.741e-07  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.993e-07  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.395e-07  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.916e-07  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.532e-07  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.226e-07  con= 0 / 1  105 14 140     
sqr=99.12  alp=9.808e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=7.846e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=6.277e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=5.022e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=4.017e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=3.214e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.571e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.057e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.646e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.316e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.053e-08  con= 0 / 1  105 14 140     
sqr=99.12  alp=8.425e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=6.74e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=5.392e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=4.314e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=3.451e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.761e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.209e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.767e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.413e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.131e-09  con= 0 / 1  105 14 140     
sqr=99.12  alp=9.046e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=7.237e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=5.79e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=4.632e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=3.705e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.964e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.371e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.897e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.518e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.214e-10  con= 0 / 1  105 14 140     
sqr=99.12  alp=9.713e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=7.771e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=6.217e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=4.973e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=3.979e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=3.183e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.546e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=2.037e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.63e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.304e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=1.043e-11  con= 0 / 1  105 14 140     
sqr=99.12  alp=8.344e-12  con= 0 / 1  105 14 140     
sqr=99.12  alp=6.675e-12  con= 0 / 1  105 14 140     
sqr=102.4  alp=0.01678  con= 0 / 1  105 14 140     
sqr=95.42  alp=0.001153  con= 0 / 1  105 14 140     
sqr=95  alp=0.0009223  con= 0 / 1  105 14 140     
sqr=94.62  alp=0.0007379  con= 0 / 1  105 14 140     
sqr=94.26  alp=0.0005903  con= 0 / 1  105 14 140     
sqr=93.92  alp=0.0004722  con= 0 / 1  105 14 140     
sqr=93.65  alp=0.0003778  con= 0 / 1  105 14 140     
sqr=93.41  alp=0.0003022  con= 0 / 1  105 14 140     
sqr=93.23  alp=0.0002418  con= 0 / 1  105 14 140     
sqr=93.08  alp=0.0001934  con= 0 / 1  105 14 140     
sqr=92.97  alp=0.0001547  con= 0 / 1  105 14 140     
sqr=92.89  alp=0.0001238  con= 0 / 1  105 14 140     
sqr=92.82  alp=9.904e-05  con= 0 / 1  105 14 140     
sqr=92.76  alp=7.923e-05  con= 0 / 1  105 14 140     
sqr=92.72  alp=6.338e-05  con= 0 / 1  105 14 140     
sqr=92.68  alp=5.071e-05  con= 0 / 1  105 14 140     
sqr=92.65  alp=4.056e-05  con= 0 / 1  105 14 140     
sqr=92.62  alp=3.245e-05  con= 0 / 1  105 14 140     
sqr=92.6  alp=2.596e-05  con= 0 / 1  105 14 140     
sqr=92.59  alp=2.077e-05  con= 0 / 1  105 14 140     
sqr=92.58  alp=1.662e-05  con= 0 / 1  105 14 140     
sqr=92.57  alp=1.329e-05  con= 0 / 1  105 14 140     
sqr=92.56  alp=1.063e-05  con= 0 / 1  105 14 140     
sqr=92.55  alp=8.507e-06  con= 0 / 1  105 14 140     
sqr=92.55  alp=6.806e-06  con= 0 / 1  105 14 140     
sqr=92.54  alp=5.445e-06  con= 0 / 1  105 14 140     
sqr=92.54  alp=4.356e-06  con= 0 / 1  105 14 140     
sqr=92.54  alp=3.484e-06  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.788e-06  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.23e-06  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.784e-06  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.427e-06  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.142e-06  con= 0 / 1  105 14 140     
sqr=92.53  alp=9.134e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=7.308e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=5.846e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=4.677e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=3.741e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.993e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.395e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.916e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.532e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.226e-07  con= 0 / 1  105 14 140     
sqr=92.53  alp=9.808e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=7.846e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=6.277e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=5.022e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=4.017e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=3.214e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.571e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.057e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.646e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.316e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.053e-08  con= 0 / 1  105 14 140     
sqr=92.53  alp=8.425e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=6.74e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=5.392e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=4.314e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=3.451e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.761e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.209e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.767e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.413e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.131e-09  con= 0 / 1  105 14 140     
sqr=92.53  alp=9.046e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=7.237e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=5.79e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=4.632e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=3.705e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.964e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.371e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.897e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.518e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.214e-10  con= 0 / 1  105 14 140     
sqr=92.53  alp=9.713e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=7.771e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=6.217e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=4.973e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=3.979e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=3.183e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.546e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=2.037e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.63e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.304e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=1.043e-11  con= 0 / 1  105 14 140     
sqr=92.53  alp=8.344e-12  con= 0 / 1  105 14 140     
sqr=90.04  alp=0.0007379  con= 0 / 1  105 14 140     
sqr=89.51  alp=0.0005903  con= 0 / 1  105 14 140     
sqr=89.04  alp=0.0004722  con= 0 / 1  105 14 140     
sqr=88.61  alp=0.0003778  con= 0 / 1  105 14 140     
sqr=88.22  alp=0.0003022  con= 0 / 1  105 14 140     
sqr=87.89  alp=0.0002418  con= 0 / 1  105 14 140     
sqr=87.64  alp=0.0001934  con= 0 / 1  105 14 140     
sqr=87.45  alp=0.0001547  con= 0 / 1  105 14 140     
sqr=87.3  alp=0.0001238  con= 0 / 1  105 14 140     
sqr=87.19  alp=9.904e-05  con= 0 / 1  105 14 140     
sqr=87.1  alp=7.923e-05  con= 0 / 1  105 14 140     
sqr=87.03  alp=6.338e-05  con= 0 / 1  105 14 140     
sqr=86.97  alp=5.071e-05  con= 0 / 1  105 14 140     
sqr=86.92  alp=4.056e-05  con= 0 / 1  105 14 140     
sqr=86.89  alp=3.245e-05  con= 0 / 1  105 14 140     
sqr=86.86  alp=2.596e-05  con= 0 / 1  105 14 140     
sqr=86.83  alp=2.077e-05  con= 0 / 1  105 14 140     
sqr=86.81  alp=1.662e-05  con= 0 / 1  105 14 140     
sqr=86.8  alp=1.329e-05  con= 0 / 1  105 14 140     
sqr=86.79  alp=1.063e-05  con= 0 / 1  105 14 140     
sqr=86.78  alp=8.507e-06  con= 0 / 1  105 14 140     
sqr=86.77  alp=6.806e-06  con= 0 / 1  105 14 140     
sqr=86.76  alp=5.445e-06  con= 0 / 1  105 14 140     
sqr=86.75  alp=4.356e-06  con= 0 / 1  105 14 140     
sqr=86.75  alp=3.484e-06  con= 0 / 1  105 14 140     
sqr=86.75  alp=2.788e-06  con= 0 / 1  105 14 140     
sqr=86.74  alp=2.23e-06  con= 0 / 1  105 14 140     
sqr=86.74  alp=1.784e-06  con= 0 / 1  105 14 140     
sqr=86.74  alp=1.427e-06  con= 0 / 1  105 14 140     
sqr=86.74  alp=1.142e-06  con= 0 / 1  105 14 140     
sqr=86.74  alp=9.134e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=7.308e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=5.846e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=4.677e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=3.741e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.993e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.395e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.916e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.532e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.226e-07  con= 0 / 1  105 14 140     
sqr=86.73  alp=9.808e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=7.846e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=6.277e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=5.022e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=4.017e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=3.214e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.571e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.057e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.646e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.316e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.053e-08  con= 0 / 1  105 14 140     
sqr=86.73  alp=8.425e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=6.74e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=5.392e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=4.314e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=3.451e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.761e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.209e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.767e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.413e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.131e-09  con= 0 / 1  105 14 140     
sqr=86.73  alp=9.046e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=7.237e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=5.79e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=4.632e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=3.705e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.964e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.371e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.897e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.518e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=1.214e-10  con= 0 / 1  105 14 140     
sqr=86.73  alp=9.713e-11  con= 0 / 1  105 14 140     
sqr=86.73  alp=7.771e-11  con= 0 / 1  105 14 140     
sqr=86.73  alp=6.217e-11  con= 0 / 1  105 14 140     
sqr=86.73  alp=4.973e-11  con= 0 / 1  105 14 140     
sqr=86.73  alp=3.979e-11  con= 0 / 1  105 14 140     
sqr=86.73  alp=3.183e-11  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.546e-11  con= 0 / 1  105 14 140     
sqr=86.73  alp=2.037e-11  con= 0 / 1  105 14 140     
sqr=85.93  alp=0.0002418  con= 0 / 1  105 14 140     
sqr=85.84  alp=0.0001934  con= 0 / 1  105 14 140     
sqr=85.78  alp=0.0001547  con= 0 / 1  105 14 140     
sqr=85.73  alp=0.0001238  con= 0 / 1  105 14 140     
sqr=85.69  alp=9.904e-05  con= 0 / 1  105 14 140     
sqr=85.66  alp=7.923e-05  con= 0 / 1  105 14 140     
sqr=85.63  alp=6.338e-05  con= 0 / 1  105 14 140     
sqr=85.61  alp=5.071e-05  con= 0 / 1  105 14 140     
sqr=85.59  alp=4.056e-05  con= 0 / 1  105 14 140     
sqr=85.58  alp=3.245e-05  con= 0 / 1  105 14 140     
sqr=85.57  alp=2.596e-05  con= 0 / 1  105 14 140     
sqr=85.57  alp=2.077e-05  con= 0 / 1  105 14 140     
sqr=85.56  alp=1.662e-05  con= 0 / 1  105 14 140     
sqr=85.56  alp=1.329e-05  con= 0 / 1  105 14 140     
sqr=85.56  alp=1.063e-05  con= 0 / 1  105 14 140     
sqr=85.55  alp=8.507e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=6.806e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=5.445e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=4.356e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=3.484e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.788e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.23e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.784e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.427e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.142e-06  con= 0 / 1  105 14 140     
sqr=85.55  alp=9.134e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=7.308e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=5.846e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=4.677e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=3.741e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.993e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.395e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.916e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.532e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.226e-07  con= 0 / 1  105 14 140     
sqr=85.55  alp=9.808e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=7.846e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=6.277e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=5.022e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=4.017e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=3.214e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.571e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.057e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.646e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.316e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.053e-08  con= 0 / 1  105 14 140     
sqr=85.55  alp=8.425e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=6.74e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=5.392e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=4.314e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=3.451e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.761e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.209e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.767e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.413e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.131e-09  con= 0 / 1  105 14 140     
sqr=85.55  alp=9.046e-10  con= 0 / 1  105 14 140     
sqr=85.55  alp=7.237e-10  con= 0 / 1  105 14 140     
sqr=85.55  alp=5.79e-10  con= 0 / 1  105 14 140     
sqr=85.55  alp=4.632e-10  con= 0 / 1  105 14 140     
sqr=85.55  alp=3.705e-10  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.964e-10  con= 0 / 1  105 14 140     
sqr=85.55  alp=2.371e-10  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.897e-10  con= 0 / 1  105 14 140     
sqr=85.55  alp=1.518e-10  con= 0 / 1  105 14 140     
s=85.55 a=8.873e-16 c= 0 / 2 105 14 140 188.3 2.198
sqr=1804  alp=0.064  con= 0 / 2  105 14 140     
sqr=930.8  alp=0.0512  con= 0 / 2  105 14 140     
sqr=614.7  alp=0.01678  con= 0 / 2  105 14 140     
sqr=421.9  alp=0.01342  con= 0 / 2  105 14 140     
sqr=318.9  alp=0.01074  con= 0 / 2  105 14 140     
sqr=277.1  alp=0.006872  con= 0 / 2  105 14 140     
sqr=254.7  alp=0.004398  con= 0 / 2  105 14 140     
sqr=239  alp=0.003518  con= 0 / 2  105 14 140     
sqr=227.5  alp=0.002815  con= 0 / 2  105 14 140     
sqr=218.8  alp=0.002252  con= 0 / 2  105 14 140     
sqr=212.2  alp=0.001801  con= 0 / 2  105 14 140     
sqr=206.9  alp=0.001441  con= 0 / 2  105 14 140     
sqr=202.6  alp=0.001153  con= 0 / 2  105 14 140     
sqr=198.9  alp=0.0009223  con= 0 / 2  105 14 140     
sqr=195.5  alp=0.0007379  con= 0 / 2  105 14 140     
