dimension: 10
max non-zeros: 13
min non-zeros: 1
avg non-zeros: 2
we have 105 chains
91 are fixed
14 are free
30 have radius zero
   26 of these are fixed
   4 of these are free
75 have radius non-zero
   65 of these are fixed
   10 of these are free

sqr=1.752e+04  alp=0.064  con= 0 / 0  105 14 140     
sqr=1.045e+04  alp=0.0512  con= 0 / 0  105 14 140     
sqr=7599  alp=0.04096  con= 0 / 0  105 14 140     
sqr=5705  alp=0.03277  con= 0 / 0  105 14 140     
sqr=3916  alp=0.02621  con= 0 / 0  105 14 140     
sqr=2815  alp=0.02097  con= 0 / 0  105 14 140     
sqr=2245  alp=0.01678  con= 0 / 0  105 14 140     
sqr=1953  alp=0.01342  con= 0 / 0  105 14 140     
sqr=1783  alp=0.01074  con= 0 / 0  105 14 140     
sqr=1672  alp=0.00859  con= 0 / 0  105 14 140     
sqr=1597  alp=0.006872  con= 0 / 0  105 14 140     
sqr=1533  alp=0.005498  con= 0 / 0  105 14 140     
sqr=1479  alp=0.004398  con= 0 / 0  105 14 140     
sqr=1440  alp=0.003518  con= 0 / 0  105 14 140     
sqr=1407  alp=0.002815  con= 0 / 0  105 14 140     
sqr=1382  alp=0.002252  con= 0 / 0  105 14 140     
sqr=1364  alp=0.001801  con= 0 / 0  105 14 140     
sqr=1349  alp=0.001441  con= 0 / 0  105 14 140     
sqr=1337  alp=0.001153  con= 0 / 0  105 14 140     
sqr=1327  alp=0.0009223  con= 0 / 0  105 14 140     
sqr=1319  alp=0.0007379  con= 0 / 0  105 14 140     
sqr=1314  alp=0.0005903  con= 0 / 0  105 14 140     
sqr=1308  alp=0.0004722  con= 0 / 0  105 14 140     
sqr=1304  alp=0.0003778  con= 0 / 0  105 14 140     
sqr=1301  alp=0.0003022  con= 0 / 0  105 14 140     
sqr=1298  alp=0.0002418  con= 0 / 0  105 14 140     
sqr=1296  alp=0.0001934  con= 0 / 0  105 14 140     
sqr=1295  alp=0.0001547  con= 0 / 0  105 14 140     
sqr=1293  alp=0.0001238  con= 0 / 0  105 14 140     
sqr=1292  alp=9.904e-05  con= 0 / 0  105 14 140     
sqr=1291  alp=7.923e-05  con= 0 / 0  105 14 140     
sqr=1291  alp=6.338e-05  con= 0 / 0  105 14 140     
sqr=1290  alp=5.071e-05  con= 0 / 0  105 14 140     
sqr=1290  alp=4.056e-05  con= 0 / 0  105 14 140     
sqr=1289  alp=3.245e-05  con= 0 / 0  105 14 140     
sqr=1289  alp=2.596e-05  con= 0 / 0  105 14 140     
sqr=1289  alp=2.077e-05  con= 0 / 0  105 14 140     
sqr=1289  alp=1.662e-05  con= 0 / 0  105 14 140     
sqr=1289  alp=1.329e-05  con= 0 / 0  105 14 140     
sqr=1289  alp=1.063e-05  con= 0 / 0  105 14 140     
sqr=1289  alp=8.507e-06  con= 0 / 0  105 14 140     
sqr=1289  alp=6.806e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=5.445e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=4.356e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=3.484e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=2.788e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=2.23e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=1.784e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=1.427e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=1.142e-06  con= 0 / 0  105 14 140     
sqr=1288  alp=9.134e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=7.308e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=5.846e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=4.677e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=3.741e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=2.993e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=2.395e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=1.916e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=1.532e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=1.226e-07  con= 0 / 0  105 14 140     
sqr=1288  alp=9.808e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=7.846e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=6.277e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=5.022e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=4.017e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=3.214e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=2.571e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=2.057e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=1.646e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=1.316e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=1.053e-08  con= 0 / 0  105 14 140     
sqr=1288  alp=8.425e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=6.74e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=5.392e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=4.314e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=3.451e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=2.761e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=2.209e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=1.767e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=1.413e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=1.131e-09  con= 0 / 0  105 14 140     
sqr=1288  alp=9.046e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=7.237e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=5.79e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=4.632e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=3.705e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=2.964e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=2.371e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=1.897e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=1.518e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=1.214e-10  con= 0 / 0  105 14 140     
sqr=1288  alp=9.713e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=7.771e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=6.217e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=4.973e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=3.979e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=3.183e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=2.546e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=2.037e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=1.63e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=1.304e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=1.043e-11  con= 0 / 0  105 14 140     
sqr=1288  alp=8.344e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=6.675e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=5.34e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=4.272e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=3.418e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=2.734e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=2.187e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=1.75e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=1.4e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=1.12e-12  con= 0 / 0  105 14 140     
sqr=1288  alp=8.959e-13  con= 0 / 0  105 14 140     
sqr=1288  alp=7.167e-13  con= 0 / 0  105 14 140     
sqr=1288  alp=5.734e-13  con= 0 / 0  105 14 140     
sqr=1288  alp=4.587e-13  con= 0 / 0  105 14 140     
sqr=1214  alp=0.03277  con= 0 / 0  105 14 140     
sqr=1153  alp=0.01678  con= 0 / 0  105 14 140     
sqr=1100  alp=0.01342  con= 0 / 0  105 14 140     
sqr=1047  alp=0.01074  con= 0 / 0  105 14 140     
sqr=998.9  alp=0.00859  con= 0 / 0  105 14 140     
sqr=953.4  alp=0.006872  con= 0 / 0  105 14 140     
sqr=911.5  alp=0.005498  con= 0 / 0  105 14 140     
sqr=877  alp=0.004398  con= 0 / 0  105 14 140     
sqr=844.3  alp=0.003518  con= 0 / 0  105 14 140     
sqr=817.5  alp=0.002815  con= 0 / 0  105 14 140     
sqr=796  alp=0.002252  con= 0 / 0  105 14 140     
sqr=779.1  alp=0.001801  con= 0 / 0  105 14 140     
sqr=765.8  alp=0.001441  con= 0 / 0  105 14 140     
sqr=755.6  alp=0.001153  con= 0 / 0  105 14 140     
sqr=746.4  alp=0.0009223  con= 0 / 0  105 14 140     
sqr=739.4  alp=0.0007379  con= 0 / 0  105 14 140     
sqr=733.9  alp=0.0005903  con= 0 / 0  105 14 140     
sqr=729.6  alp=0.0004722  con= 0 / 0  105 14 140     
sqr=726.3  alp=0.0003778  con= 0 / 0  105 14 140     
sqr=723.7  alp=0.0003022  con= 0 / 0  105 14 140     
sqr=721.4  alp=0.0002418  con= 0 / 0  105 14 140     
sqr=719.7  alp=0.0001934  con= 0 / 0  105 14 140     
sqr=718.3  alp=0.0001547  con= 0 / 0  105 14 140     
sqr=717  alp=0.0001238  con= 0 / 0  105 14 140     
sqr=716.1  alp=9.904e-05  con= 0 / 0  105 14 140     
sqr=715.3  alp=7.923e-05  con= 0 / 0  105 14 140     
sqr=714.7  alp=6.338e-05  con= 0 / 0  105 14 140     
sqr=714.3  alp=5.071e-05  con= 0 / 0  105 14 140     
sqr=713.9  alp=4.056e-05  con= 0 / 0  105 14 140     
sqr=713.6  alp=3.245e-05  con= 0 / 0  105 14 140     
sqr=713.4  alp=2.596e-05  con= 0 / 0  105 14 140     
sqr=713.2  alp=2.077e-05  con= 0 / 0  105 14 140     
sqr=713  alp=1.662e-05  con= 0 / 0  105 14 140     
sqr=712.9  alp=1.329e-05  con= 0 / 0  105 14 140     
sqr=712.7  alp=1.063e-05  con= 0 / 0  105 14 140     
sqr=712.6  alp=8.507e-06  con= 0 / 0  105 14 140     
sqr=712.5  alp=6.806e-06  con= 0 / 0  105 14 140     
sqr=712.5  alp=5.445e-06  con= 0 / 0  105 14 140     
sqr=712.4  alp=4.356e-06  con= 0 / 0  105 14 140     
sqr=712.3  alp=3.484e-06  con= 0 / 0  105 14 140     
sqr=712.3  alp=2.788e-06  con= 0 / 0  105 14 140     
sqr=712.3  alp=2.23e-06  con= 0 / 0  105 14 140     
sqr=712.3  alp=1.784e-06  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.427e-06  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.142e-06  con= 0 / 0  105 14 140     
sqr=712.2  alp=9.134e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=7.308e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=5.846e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=4.677e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=3.741e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.993e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.395e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.916e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.532e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.226e-07  con= 0 / 0  105 14 140     
sqr=712.2  alp=9.808e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=7.846e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=6.277e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=5.022e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=4.017e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=3.214e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.571e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.057e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.646e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.316e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.053e-08  con= 0 / 0  105 14 140     
sqr=712.2  alp=8.425e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=6.74e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=5.392e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=4.314e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=3.451e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.761e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.209e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.767e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.413e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.131e-09  con= 0 / 0  105 14 140     
sqr=712.2  alp=9.046e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=7.237e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=5.79e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=4.632e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=3.705e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.964e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.371e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.897e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.518e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.214e-10  con= 0 / 0  105 14 140     
sqr=712.2  alp=9.713e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=7.771e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=6.217e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=4.973e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=3.979e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=3.183e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.546e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.037e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.63e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.304e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.043e-11  con= 0 / 0  105 14 140     
sqr=712.2  alp=8.344e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=6.675e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=5.34e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=4.272e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=3.418e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.734e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=2.187e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.75e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.4e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=1.12e-12  con= 0 / 0  105 14 140     
sqr=712.2  alp=8.959e-13  con= 0 / 0  105 14 140     
sqr=712.2  alp=7.167e-13  con= 0 / 0  105 14 140     
sqr=712.2  alp=5.734e-13  con= 0 / 0  105 14 140     
