dimension: 6
max non-zeros: 6
min non-zeros: 1
avg non-zeros: 2
we have 28 chains
21 are fixed
7 are free
7 have radius zero
   6 of these are fixed
   1 of these are free
21 have radius non-zero
   15 of these are fixed
   6 of these are free

sqr=1.623e+05  alp=0.1  con= 0 / 0  28 7 42     
sqr=1.575e+05  alp=0.08  con= 0 / 0  28 7 42     
sqr=1.358e+05  alp=0.064  con= 0 / 0  28 7 42     
sqr=1.07e+05  alp=0.0512  con= 0 / 0  28 7 42     
sqr=7.571e+04  alp=0.04096  con= 0 / 0  28 7 42     
sqr=4.754e+04  alp=0.03277  con= 0 / 0  28 7 42     
sqr=2.879e+04  alp=0.02621  con= 0 / 0  28 7 42     
sqr=1.814e+04  alp=0.02097  con= 0 / 0  28 7 42     
sqr=1.19e+04  alp=0.01678  con= 0 / 0  28 7 42     
sqr=8421  alp=0.01342  con= 0 / 0  28 7 42     
sqr=6226  alp=0.01074  con= 0 / 0  28 7 42     
sqr=4718  alp=0.00859  con= 0 / 0  28 7 42     
sqr=3650  alp=0.006872  con= 0 / 0  28 7 42     
sqr=2915  alp=0.005498  con= 0 / 0  28 7 42     
sqr=2392  alp=0.004398  con= 0 / 0  28 7 42     
sqr=2018  alp=0.003518  con= 0 / 0  28 7 42     
sqr=1758  alp=0.002815  con= 0 / 0  28 7 42     
sqr=1578  alp=0.002252  con= 0 / 0  28 7 42     
sqr=1450  alp=0.001801  con= 0 / 0  28 7 42     
sqr=1355  alp=0.001441  con= 0 / 0  28 7 42     
sqr=1283  alp=0.001153  con= 0 / 0  28 7 42     
sqr=1227  alp=0.0009223  con= 0 / 0  28 7 42     
sqr=1182  alp=0.0007379  con= 0 / 0  28 7 42     
sqr=1146  alp=0.0005903  con= 0 / 0  28 7 42     
sqr=1118  alp=0.0004722  con= 0 / 0  28 7 42     
sqr=1094  alp=0.0003778  con= 0 / 0  28 7 42     
sqr=1075  alp=0.0003022  con= 0 / 0  28 7 42     
sqr=1060  alp=0.0002418  con= 0 / 0  28 7 42     
sqr=1047  alp=0.0001934  con= 0 / 0  28 7 42     
sqr=1037  alp=0.0001547  con= 0 / 0  28 7 42     
sqr=1029  alp=0.0001238  con= 0 / 0  28 7 42     
sqr=1022  alp=9.904e-05  con= 0 / 0  28 7 42     
sqr=1016  alp=7.923e-05  con= 0 / 0  28 7 42     
sqr=1011  alp=6.338e-05  con= 0 / 0  28 7 42     
sqr=1007  alp=5.071e-05  con= 0 / 0  28 7 42     
sqr=1004  alp=4.056e-05  con= 0 / 0  28 7 42     
sqr=1002  alp=3.245e-05  con= 0 / 0  28 7 42     
sqr=999.5  alp=2.596e-05  con= 0 / 0  28 7 42     
sqr=997.7  alp=2.077e-05  con= 0 / 0  28 7 42     
sqr=996.3  alp=1.662e-05  con= 0 / 0  28 7 42     
sqr=995.1  alp=1.329e-05  con= 0 / 0  28 7 42     
sqr=994.2  alp=1.063e-05  con= 0 / 0  28 7 42     
sqr=993.4  alp=8.507e-06  con= 0 / 0  28 7 42     
sqr=992.8  alp=6.806e-06  con= 0 / 0  28 7 42     
sqr=992.3  alp=5.445e-06  con= 0 / 0  28 7 42     
sqr=991.9  alp=4.356e-06  con= 0 / 0  28 7 42     
sqr=991.6  alp=3.484e-06  con= 0 / 0  28 7 42     
sqr=991.4  alp=2.788e-06  con= 0 / 0  28 7 42     
sqr=991.2  alp=2.23e-06  con= 0 / 0  28 7 42     
sqr=991  alp=1.784e-06  con= 0 / 0  28 7 42     
sqr=990.9  alp=1.427e-06  con= 0 / 0  28 7 42     
sqr=990.8  alp=1.142e-06  con= 0 / 0  28 7 42     
sqr=990.7  alp=9.134e-07  con= 0 / 0  28 7 42     
sqr=990.6  alp=7.308e-07  con= 0 / 0  28 7 42     
sqr=990.6  alp=5.846e-07  con= 0 / 0  28 7 42     
sqr=990.5  alp=4.677e-07  con= 0 / 0  28 7 42     
sqr=990.5  alp=3.741e-07  con= 0 / 0  28 7 42     
sqr=990.4  alp=2.993e-07  con= 0 / 0  28 7 42     
sqr=990.4  alp=2.395e-07  con= 0 / 0  28 7 42     
sqr=990.4  alp=1.916e-07  con= 0 / 0  28 7 42     
sqr=990.4  alp=1.532e-07  con= 0 / 0  28 7 42     
sqr=990.4  alp=1.226e-07  con= 0 / 0  28 7 42     
sqr=990.4  alp=9.808e-08  con= 0 / 0  28 7 42     
sqr=990.4  alp=7.846e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=6.277e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=5.022e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=4.017e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=3.214e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.571e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.057e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.646e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.316e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.053e-08  con= 0 / 0  28 7 42     
sqr=990.3  alp=8.425e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=6.74e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=5.392e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=4.314e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=3.451e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.761e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.209e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.767e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.413e-09  con= 0 / 0  28 7 42     
